epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.62375,2.93355,3.61571,4.31911,0.0028,0.75,0.00655,0.00255,2.84765,3.94269,4.15906,1.667e-05,1.667e-05,1.667e-05
2,17.436,2.96554,3.66843,4.3092,0.00276,0.75,0.00864,0.00314,2.84766,3.94427,4.15925,4.95149e-05,4.95149e-05,4.95149e-05
3,26.6846,3.0826,3.67141,4.28013,0.00278,0.75,0.01212,0.0044,2.84812,3.94528,4.15938,8.16997e-05,8.16997e-05,8.16997e-05
4,35.9229,3.01309,3.66929,4.27976,0.00281,0.75,0.05259,0.00991,2.84892,3.94643,4.15944,0.000113224,0.000113224,0.000113224
5,45.0587,2.98094,3.58194,4.24976,0.00285,0.75,0.50067,0.08758,2.85022,3.94737,4.15944,0.000144089,0.000144089,0.000144089
6,54.324,2.96913,3.54819,4.28395,0.00283,0.75,0.50039,0.17708,2.85197,3.94753,4.1592,0.000174293,0.000174293,0.000174293
7,62.9643,2.97999,3.48361,4.22819,0.00283,0.75,0.16518,0.05527,2.85379,3.94756,4.15856,0.000203837,0.000203837,0.000203837
8,72.1406,3.04255,3.59511,4.25679,0.00288,0.75,0.3758,0.13363,2.85505,3.94648,4.15726,0.000232722,0.000232722,0.000232722
9,80.7649,3.28695,3.55804,4.17466,0.00282,0.75,0.32228,0.08343,2.85497,3.94601,4.15623,0.000260946,0.000260946,0.000260946
10,90.8999,3.25912,3.65583,4.16476,0.00286,0.75,0.30535,0.14413,2.8558,3.9457,4.15469,0.000288509,0.000288509,0.000288509
11,99.8988,3.016,3.56789,4.14406,0.0028,0.75,0.50128,0.10613,2.85699,3.94595,4.1528,0.000315413,0.000315413,0.000315413
12,108.966,2.99662,3.54987,4.16978,0.0028,0.75,0.33715,0.11103,2.85795,3.94603,4.15043,0.000341657,0.000341657,0.000341657
13,117.988,2.89421,3.57414,4.17899,0.00282,0.75,0.50784,0.09805,2.85919,3.94637,4.14789,0.00036724,0.00036724,0.00036724
14,126.888,3.04625,3.50189,4.13712,0.00243,0.75,0.17045,0.06144,2.86111,3.94646,4.14501,0.000392163,0.000392163,0.000392163
15,135.955,3.26844,3.47254,4.21639,0.00359,1,0.41855,0.16853,2.86339,3.94628,4.14252,0.000416427,0.000416427,0.000416427
16,144.936,3.11856,3.56734,4.14592,0.00362,1,0.49961,0.1711,2.86557,3.94541,4.14004,0.00044003,0.00044003,0.00044003
17,153.796,3.26458,3.55223,4.16893,0.00377,1,0.41595,0.15978,2.8648,3.94276,4.13667,0.000462973,0.000462973,0.000462973
18,162.785,3.1105,3.49133,4.13017,0.00399,1,0.49923,0.16985,2.86112,3.9366,4.13175,0.000485255,0.000485255,0.000485255
19,171.704,3.1558,3.31802,4.11893,0.00399,1,0.49919,0.16989,2.85713,3.92806,4.12485,0.000506878,0.000506878,0.000506878
20,180.748,2.84206,3.54214,4.10184,0.00419,1,0.14393,0.05019,2.85845,3.92203,4.11971,0.000527841,0.000527841,0.000527841
21,189.705,2.94398,3.32416,4.07591,0.00441,1,0.09255,0.03183,2.86483,3.9184,4.1124,0.000548143,0.000548143,0.000548143
22,198.705,2.82677,3.36396,4.06621,0.00428,1,0.10232,0.03181,2.87291,3.91194,4.1015,0.000567785,0.000567785,0.000567785
23,207.573,2.87775,3.47241,4.02511,0.0043,1,0.50128,0.16158,2.89101,3.90351,4.07706,0.000586767,0.000586767,0.000586767
24,217.807,3.06764,3.571,4.01495,0.00413,1,0.50286,0.17989,2.91472,3.90297,4.05146,0.000605089,0.000605089,0.000605089
25,228.506,2.77029,3.46059,4.01664,0.00409,1,0.51408,0.14461,2.94694,3.91151,4.0313,0.000622751,0.000622751,0.000622751
26,237.607,2.82746,3.35935,3.9785,0.00411,1,0.51493,0.14335,2.93506,3.9,4.01352,0.000639753,0.000639753,0.000639753
27,246.72,2.87617,3.32935,3.96519,0.00425,1,0.52073,0.13838,2.91356,3.87942,4.004,0.000656095,0.000656095,0.000656095
28,256.799,2.93804,3.28352,3.93518,0.00425,1,0.52073,0.13838,2.91356,3.87942,4.004,0.000671776,0.000671776,0.000671776
29,266.601,2.79715,3.23032,3.92336,0.00414,1,0.5269,0.13816,2.92927,3.88188,4.01224,0.000686797,0.000686797,0.000686797
30,276.741,2.79937,3.36527,3.89401,0.00416,1,0.51008,0.14764,2.85159,3.79996,3.99116,0.000701159,0.000701159,0.000701159
31,286.045,2.68009,3.25543,3.81895,0.00416,1,0.51008,0.14764,2.85159,3.79996,3.99116,0.00071486,0.00071486,0.00071486
32,294.694,2.95888,3.27297,3.87146,0.0042,1,0.42675,0.11592,2.66623,3.81199,4.05186,0.000727901,0.000727901,0.000727901
33,304.267,2.97686,3.29453,3.86756,0.0043,1,0.3289,0.07122,2.59535,3.75454,4.05758,0.000740281,0.000740281,0.000740281
34,313.768,2.81377,3.16497,3.82975,0.0043,1,0.3289,0.07122,2.59535,3.75454,4.05758,0.000752002,0.000752002,0.000752002
35,323.373,2.75523,3.24858,3.76189,0.00423,1,0.30655,0.07699,2.56202,3.6908,4.02334,0.000763063,0.000763063,0.000763063
36,332.653,2.86454,3.25866,3.75724,0.00413,1,0.30628,0.09283,2.6941,3.59555,3.90455,0.000773463,0.000773463,0.000773463
37,341.095,2.91129,3.13708,3.80427,0.00413,1,0.30628,0.09283,2.6941,3.59555,3.90455,0.000783203,0.000783203,0.000783203
38,349.565,2.65635,3.25325,3.68368,0.00365,1,0.2913,0.06116,2.89185,3.64564,3.85797,0.000792283,0.000792283,0.000792283
39,357.642,2.83189,3.1845,3.70551,0.51385,0.5,0.16984,0.02386,3.09674,4.25277,3.99626,0.000800703,0.000800703,0.000800703
40,365.707,2.84986,3.15198,3.70389,0.51385,0.5,0.16984,0.02386,3.09674,4.25277,3.99626,0.000808463,0.000808463,0.000808463
41,374.483,2.81833,3.05682,3.69748,0.51897,0.5,0.16273,0.02238,3.10734,4.14249,4.0438,0.000815563,0.000815563,0.000815563
42,383.554,2.84161,3.10963,3.64945,0.54017,0.5,0.12145,0.01919,3.25531,8.04101,4.91524,0.000822003,0.000822003,0.000822003
43,392.814,3.07313,3.44835,3.71884,0.54017,0.5,0.12145,0.01919,3.25531,8.04101,4.91524,0.000827782,0.000827782,0.000827782
44,402.032,2.7669,3.10306,3.61746,0.51726,0.25,0.01922,0.00658,3.3049,8.21325,4.89014,0.000832902,0.000832902,0.000832902
45,411.061,2.79437,3.06276,3.49578,0.51726,0.25,0.01922,0.00658,3.3049,8.21325,4.89014,0.000837361,0.000837361,0.000837361
46,421.559,2.78774,3.08065,3.57892,0.51764,0.25,0.02384,0.00712,3.27038,9.26195,4.46079,0.00084116,0.00084116,0.00084116
47,431.038,2.71643,2.99717,3.54023,0.51764,0.25,0.02384,0.00712,3.27038,9.26195,4.46079,0.000844299,0.000844299,0.000844299
48,439.633,2.79266,3.24333,3.55228,0.52689,0.25,0.09059,0.01314,3.1891,4.79225,4.07538,0.000846778,0.000846778,0.000846778
49,449.084,2.83087,2.96953,3.45913,0.52689,0.25,0.09059,0.01314,3.1891,4.79225,4.07538,0.000848596,0.000848596,0.000848596
50,458.26,2.91176,3.17558,3.56985,0.01627,0.5,0.07783,0.01925,2.81134,3.38635,3.93446,0.000849755,0.000849755,0.000849755
51,467.171,2.66127,3.10065,3.51569,0.01627,0.5,0.07783,0.01925,2.81134,3.38635,3.93446,0.000841835,0.000841835,0.000841835
52,476.467,2.88615,3.32059,3.45811,0.52495,0.25,0.08724,0.01313,2.98772,3.76941,3.96255,0.000825332,0.000825332,0.000825332
53,486.078,2.78609,2.91743,3.52073,0.52495,0.25,0.08724,0.01313,2.98772,3.76941,3.96255,0.000808828,0.000808828,0.000808828
54,495.916,2.67567,3.19254,3.47478,0.51267,0.25,0.01786,0.00489,3.20642,5.2334,4.07833,0.000792325,0.000792325,0.000792325
55,505.593,2.53071,2.93224,3.37683,0.51267,0.25,0.01786,0.00489,3.20642,5.2334,4.07833,0.000775822,0.000775822,0.000775822
56,515.191,2.52921,2.93155,3.50007,0.51379,0.25,0.01837,0.00465,3.32893,8.24723,4.23496,0.000759318,0.000759318,0.000759318
57,524.342,2.81559,3.07649,3.47125,0.51379,0.25,0.01837,0.00465,3.32893,8.24723,4.23496,0.000742815,0.000742815,0.000742815
58,534.242,2.70931,3.06283,3.44193,0.51,0.25,0.02051,0.00505,3.33197,4.27217,4.10183,0.000726312,0.000726312,0.000726312
59,543.529,2.64969,3.10689,3.37974,0.51,0.25,0.02051,0.00505,3.33197,4.27217,4.10183,0.000709809,0.000709809,0.000709809
60,553.123,2.59062,3.00483,3.30731,0.51028,0.25,0.02591,0.00872,3.26177,4.39208,4.03663,0.000693305,0.000693305,0.000693305
61,562.307,2.541,2.84347,3.32863,0.51028,0.25,0.02591,0.00872,3.26177,4.39208,4.03663,0.000676802,0.000676802,0.000676802
62,571.966,2.83889,2.98256,3.38656,0.58608,0.5,0.13734,0.02332,3.18608,5.04683,4.03149,0.000660299,0.000660299,0.000660299
63,581.312,2.76989,3.10549,3.27412,0.58608,0.5,0.13734,0.02332,3.18608,5.04683,4.03149,0.000643795,0.000643795,0.000643795
64,591.251,2.62091,2.97112,3.4085,0.58647,0.5,0.26064,0.04503,3.08916,4.73026,3.93986,0.000627292,0.000627292,0.000627292
65,600.436,2.55849,2.83407,3.29489,0.58647,0.5,0.26064,0.04503,3.08916,4.73026,3.93986,0.000610789,0.000610789,0.000610789
66,609.73,2.5947,2.98941,3.32932,0.08575,0.75,0.40368,0.07047,2.86478,3.34261,3.78408,0.000594286,0.000594286,0.000594286
67,617.994,2.65681,2.92911,3.35744,0.08575,0.75,0.40368,0.07047,2.86478,3.34261,3.78408,0.000577782,0.000577782,0.000577782
68,626.34,2.56931,2.9778,3.35412,0.16654,0.75,0.35871,0.0692,2.84156,3.40647,3.80921,0.000561279,0.000561279,0.000561279
69,634.38,2.71531,2.97874,3.35713,0.16654,0.75,0.35871,0.0692,2.84156,3.40647,3.80921,0.000544776,0.000544776,0.000544776
70,642.553,2.54192,2.95274,3.23425,0.2652,0.75,0.36132,0.0686,2.84758,3.72591,3.82447,0.000528272,0.000528272,0.000528272
71,650.53,2.50856,2.93092,3.29128,0.2652,0.75,0.36132,0.0686,2.84758,3.72591,3.82447,0.000511769,0.000511769,0.000511769
72,658.687,2.35696,2.77197,3.23477,0.43951,0.5,0.41087,0.0718,2.87255,4.25687,3.86305,0.000495266,0.000495266,0.000495266
73,666.879,2.46583,2.66959,3.133,0.43951,0.5,0.41087,0.0718,2.87255,4.25687,3.86305,0.000478762,0.000478762,0.000478762
74,675.094,2.58233,2.93236,3.29709,0.31016,0.5,0.30102,0.06788,2.78028,3.85129,3.81463,0.000462259,0.000462259,0.000462259
75,683.118,2.58327,2.81601,3.28104,0.31016,0.5,0.30102,0.06788,2.78028,3.85129,3.81463,0.000445756,0.000445756,0.000445756
76,691.179,2.55549,2.90538,3.22961,0.28252,0.75,0.28483,0.07972,2.70685,3.86109,3.78358,0.000429253,0.000429253,0.000429253
77,699.216,2.46368,2.79892,3.14036,0.28252,0.75,0.28483,0.07972,2.70685,3.86109,3.78358,0.000412749,0.000412749,0.000412749
78,707.603,2.51861,2.80536,3.27581,0.2383,0.72385,0.25146,0.06244,2.63996,3.42021,3.69475,0.000396246,0.000396246,0.000396246
