epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.6606,1.06642,2.8558,1.54824,0.16234,0.75,0.17705,0.14431,1.14787,5.16195,2.11909,1.667e-05,1.667e-05,1.667e-05
2,103.01,0.87366,1.797,1.48373,0.40731,0.75,0.77625,0.49869,0.94346,8.40678,1.73656,4.95149e-05,4.95149e-05,4.95149e-05
3,144.957,0.81964,1.62419,1.38678,0.5423,0.71947,0.66292,0.5926,0.77614,10.2839,1.55242,8.16997e-05,8.16997e-05,8.16997e-05
4,186.772,0.71276,1.48392,1.33383,0.88612,0.75,0.87,0.54095,1.77448,7.78301,2.7228,0.000113224,0.000113224,0.000113224
5,228.664,0.76277,1.54194,1.28053,0.63444,1,0.91167,0.54149,1.58789,6.09645,2.39652,0.000144089,0.000144089,0.000144089
6,270.304,0.68189,1.13368,1.3224,0.43068,1,0.7331,0.48975,1.06181,16.5832,1.97569,0.000174293,0.000174293,0.000174293
7,311.904,0.50183,0.90957,1.17169,0.58799,0.9721,0.68375,0.57794,1.14435,13.4549,2.01983,0.000203837,0.000203837,0.000203837
8,353.013,0.66647,1.05067,1.20732,0.60654,1,0.995,0.31321,1.70436,15.4225,3.00821,0.000232722,0.000232722,0.000232722
9,394.115,0.69407,1.07219,1.28628,0.49593,1,0.995,0.54725,1.69816,12.4006,3.26465,0.000260946,0.000260946,0.000260946
10,435.256,0.81384,1.13379,1.27255,0.79424,1,0.995,0.4291,1.70033,10.9379,2.97459,0.000288509,0.000288509,0.000288509
11,476.487,0.62382,0.95525,1.23235,0.97338,1,0.995,0.47688,1.92789,9.32057,3.61264,0.000315413,0.000315413,0.000315413
12,517.766,0.5797,0.90818,1.22073,0.62241,0.98612,0.91167,0.34394,2.06973,12.752,3.48812,0.000341657,0.000341657,0.000341657
13,560.244,0.708,0.99541,1.28207,0.45605,0.5,0.49794,0.18016,2.71025,12.8505,4.34438,0.00036724,0.00036724,0.00036724
